sentiment,content
happiness,doctor office woooo fun wotk not afford
worry,see black snake garden go picture go
sadness,new headphone player
neutral,fine play infamous sorry hear thing end
worry,have trouble sync iphone work exchange email help
hate,hang san fran airport get hour wait btw sfo wifi garbage
sadness,not swimmin
neutral,apparently request guest
enthusiasm,workin la bootay s warm weather
love,rip grandpa graduation today
worry,sunburn knee
worry,sigh sound happy
worry,sadly go cancel chicago trip week
worry,mood shrimp scampi vermouth
worry,today go relax like hope
neutral,umm nope anymoree
sadness,sweet england lamer lamer guy leave
worry,medium havnet find ipod
worry,lay teacher city near wonder think go jobfield
sadness,get haircut feel like guy force ponytail cut
hate,way work damn sinus headache suck
love,eat lunch want work
neutral,wanna pub
sadness,yes think change send u happy mother day text u respond
hate,get tired kitchen uninhabital swept mop floor dry work top
sadness,courthouse happy job sad
sadness,wish enjoy girl day
worry,sure get credit end book sure forgot people
neutral,
worry,phone arvest girl phone breathe mic phone sound good darth vader
sadness,go
sadness,m work super bored
neutral,get long workout da gym
sadness,cold beach sucky
sadness,sit sculpt tiny koi
worry,order chip unhealthy get burrito chipotle qdoba feel right em
worry,totally need doctor arm bitch hurtin like hell shall return
neutral,slam finger car dor fml ow
neutral,hmph order bootleg pharo gps phone not bb want office depot
happiness,enjoy weather work shift
neutral,awesome ruin white clothe remember separate
sadness,feel like need cry believe year ill walk stage high school diploma
sadness,see webc awesome love song m sad cuz not wake early start
sadness,pay sale tax great bad mom pop business double pay business license
happiness,cool day charlie ben aswell get lose sting nettle
sadness,stressin h core suppose clean room feel like crap
happiness,anywayss point die spend summer hot guy
worry,feel like shit continue long take
surprise,believe spend lunch break inside desk
neutral,finish shift min drive half hour start till tomorrow sunny
worry,suffer hayfever drowsy piriton head bed air purifier
sadness,lunch pour rain ugh ohh get death cab cutie mood
sadness,bask misery
worry,let know go pray ummmph believe
fun,ok finish mikado shut lol
worry,know pack make poor lauren
enthusiasm,sushi joint close nice lunch angel
neutral,haha remember trip fun miss miss miss miss miss chu
neutral,
neutral,wish
neutral,say impossible plurk work system administrator close access firew
fun,want tix oh right know near vacaville
sadness,feel super sick
sadness,google wish spend bit time add bit chrome
happiness,make cry everytime lol
worry,go funeral
worry,worry sick granddaughter hasbro possibly need shunt revise mean surgery
worry,rude fof poor girl hope recover awful site
neutral,twitter slow
fun,long lol
sadness,head bruise bad
worry,ruby luster nyc performance
sadness,hate pain
love,ipod nano love thing apple
worry,day favorite teacher im sad
neutral,update tweetie open browser break
neutral,yeah kid school get swine flu close school kid
sadness,try find pic twitter ihave big upload shall remain faceless lol
worry,ozzy vet feel look sad possible uti result tomorrow
sadness,wtf kinda good friend meet hubby depress
sadness,room
hate,sit mrs martin class youtube stupid want popsicle jealous sara
worry,zoita cardio apt doc say hole heart close need surgery close
worry,try pincode say expire
neutral,knoooooooooooow
worry,rough start day take don spread bad vibe hope great weekend outty
sadness,mad will not ughhh
worry,hungry leave lunch
sadness,man sinus r buggin morning
sadness,interesting evening homeless people venice beach night wish camera model release
neutral,kinda headache
neutral,pool close cloudy cook tonight
neutral,trip igbara postpone week
neutral,concern
hate,slow answerer
neutral,wish coulda
hate,yuotube link deny work
worry,irma vep rehearsal
surprise,mcdonald pineapple pie
worry,ouch stomachace eat lot
sadness,california sunny make kinda sad
worry,gah think like wes carr s wrong good come australian idol song catchy fuck
worry,hi bruce try eat healthy kinda scary read maggot rat hair food
worry,help
worry,sleep amp
happiness,go to miss guy thank make year senior school amazing
happiness,start true franchise online mode dynasty huge madden online league
hate,itsuck want text texte
love,inoo s se ino u feel coz m love kyle feel like saddo true ha wanna tuesday
surprise,ok cause s orange open whew scare sorry close
hate,youtube fail right maybe hate
sadness,oasis ribena tough decision everrr
worry,year graduation pretty sure ready
happiness,get concert mistake kinda fail macedonian test relative serbia woohoo
enthusiasm,school boring people play country suck xd
happiness,whew night day summer sad jess grad party tonight
happiness,watch final prison break episode great farewell prison break dearly miss
worry,yarn arrive monday know shipment dye
worry,gettin ready trip ma wanna leave
neutral,professional
neutral,yeah imagine nice long shift
neutral,bored firday evening
neutral,time nerd
hate,argh like ebay get outbid second
love,think pretty sorry feel bad
worry,will reply
surprise,wake flat tire
worry,yaaawn stay late night get to work amp super early tomorrow
neutral,phone bank
relief,ouch well think prime marriage year
neutral,day adobe buuuut register online tech writing course
hate,bad piss poor tho unbroken
enthusiasm,want know feeling ready head mountain will till july
sadness,close mean ffs people rip polly
worry,bring bad weather state
enthusiasm,
neutral,
hate,goddamnit live age constant communication return text
surprise,awww nooo venus redemption come double
enthusiasm,mouth sore wear stupid retainer tooth news get new swimsuit lap
happiness,burn agenn nice day tho xxx
fun,vacuum entire house time screw vacuum
neutral,hey u soon maybe tomorrow
happiness,try teriyaki cookie tho get non win pop tart great
sadness,fuck blink weezer totally forget
neutral,lose help find good home
worry,ball bb work read text message holla text
sadness,sorry migraine mention like cissbury sp pic week
hate,upset especially fear will jared hug tomorrow
neutral,course evil day job want stay long need win lottery
worry,ok airport flightwas board
hate,upload video microb g network train slow
worry,work tomorrow
sadness,wish want stay play u guy enjoy block party
sadness,alright wish guy tennessee show
worry,need food take hour work morning leave time morning coffee bagel
sadness,follow sad lol
relief,ve die expensive little size
worry,jonas demi miss niiick soul asasgdygyasdgy
sadness,shoot mile
surprise,s m get new phone phone not work
relief,work day
worry,time live get little pop taskbar say file corrupt need run chkdisk
sadness,lost dog poor girl
sadness,lmao sure luck
worry,not know imei number track india
neutral,respond go
worry,panchito burfday party tonight wish kiddo
worry,crazy morning
worry,damn get math test today
worry,y hve graduation practice m go to walk
anger,motherfuck qw
neutral,respond go
sadness,girl hall say cat get landlord show apt heartbreaking
worry,watch gilmore girl rerun know day
sadness,feel bad little sister lot money saab take coverage week total yesterday
surprise,beach watch xman origin drink orange juice pulp
worry,unfortunately purpose itune shuffle follow dreadzone life ruin music trauma
sadness,try spend time away reality break heart
sadness,oh poor bear nightmare wrestle huge snake win
worry,haha yea feel like take wrong direction cool place mess
worry,epsilon great zero miss mommy
worry,feel sad today
happiness,foot think let international twitter haha
hate,get tired deal dilemma
worry,unfortunately miss girl bro radio tonight midst night write session
neutral,dmv
hate,drive nut
neutral,hate forget actually turn dryer
worry,work de tonite tho eeeeeee
hate,shit friend state know help help wish know
sadness,want ben jerrys lol tweet people m bored
hate,oh yeah mom tell think mean twitter d amp confused suck sick
surprise,ommg gurll u go sad
worry,believe find way ppl contact family sad
sadness,feelin
worry,come car thing suck feel anxious yucky
love,good luck service tomorrow wish guy vacation
worry,hello feel lonely
sadness,go engagement party tommorrow night step soapbox
sadness,deliver friday looonnnng way away people guess laundry week mil
worry,sit science freeze day
worry,watch hollyoak hope justin die
sadness,think stay till tomorrow philly wanna stay bad
worry,math seriously hate
neutral,
neutral,game
neutral,aw toy story come year
sadness,feel peckish dinner hour wah
worry,cut hand open
happiness,cambie slightly event leave wait feedback u post
worry,ha dunno stand rough today hurt talk
neutral,south border officially south carolina january
worry,far wanna home
neutral,heiress shop day kinda bad know
fun,molly keep punch cuz see yellow car go to cover bruise like game
worry,headache heat
sadness,way lake geneva miss laura
happiness,go tonight finally wanty lie park cinema bind look
neutral,time work
happiness,dream hang friend good wake
worry,go upset daughter bit mr rat take sudden turn bad
worry,feel good today
surprise,dude lol chris brown live far apart m afraid fly
sadness,know fall right pm time like right middle day
neutral,need twitter friend check far find new
sadness,miss think like trina
sadness,try day not give
surprise,mail help get reply right probly mean will
worry,shelter look hope okay afraid go hit car stop cry
sadness,like wake slow morning docs appt today
worry,nice food mam bay likely room tonight b mingin burger kitchen
neutral,teeshirt faaar small like stop wear
love,awessomee cut hurrr massage orr alkie foodtour yeaaah pray ur cousin
happiness,go get pedicure manicure den sunbathe daii good day eva oh teeny bit study
sadness,go vid not work m sad
surprise,yes understand mean know hollywood thing call love
sadness,miss friggin hair appt
sadness,oh mean will able pwne shottie weekend
love,goood dayy beeen shopping want good friend comeeee homeeee xd ily shannii x
worry,want soldier come home hear anymore kill
boredom,problem flash not gpu accelerate atom play youtube hd hulu hd fullscreen big deal plex
sadness,hillsong tom night dad birthday wish bday
surprise,awwwwww wish safe s go n hug u hard goodbye
worry,degree centigrade hot degree centigrade
neutral,get chase male chihuahua look like pregnant today black
enthusiasm,not wait leave work
happiness,get doctor need surgery yayyy knee fuck go to well
sadness,time morning way town pic sad
worry,way unfortunate hear thank head
worry,good funeral cry way contagious
neutral,video set private
worry,want soldier come home hear anymore kill
worry,little bit upset ppl
worry,pretty sure sit wrong train go wrong way bah
sadness,handwriting not make fun m sit myseld lrc
sadness,bed sick heavy fever go dr reason watch aladdin feed
neutral,feel fine yesterday m ball sickness hate flu
worry,tap shoulder forget
worry,stick inside nice outside
sadness,suck delete
worry,honestly folk microsoft ms word believe spend minute find auto correct option
happiness,plant garden hope sun shine soon
worry,feel sick probably summer flu
worry,know click doughnut picture lol end want
hate,ughh miley creature song infest brain
surprise,rain
neutral,good morning nyc break land yesterday afternoon
neutral,yeah come barcelona fan concert come barcelona jessi te quiero
sadness,hate take lily doc shot make super sad
worry,oh dear sunburn
worry,yeah need hug cuz sick
worry,apparently dad think ok stalk twitter bad week hate life
surprise,dance flick actually good
worry,meeting want coffee right cuz sleep
worry,frustrate twitter picture load
worry,wheater austria bad weekend sorry
worry,miss cousin
worry,not respond cuz maxe
sadness,hate cat pee
worry,video set private
neutral,book signing live come
sadness,suck hope find new job soon
worry,confused weather go to sunny go to rain
surprise,chinese lunch buffet add soda notice health inspection score walk bag priceless
sadness,wow get kill wave horde gear fail
worry,crease nike ohh
worry,work like allway hope good day not talk not possiabally good
sadness,get nom nom favourite restaurant haarlem sad miss eat food incredible
happiness,day spa miss place head fort collin close casa de kent
surprise,btw record waaay clothe pack find green boa amp velvet black corset
worry,arrghh stupid eczema soon sort
worry,late hurt
sadness,work car plant believe repect hard workin folk world
hate,hate life
hate,hate khaki pant project todayy
fun,know law rebel small thing
hate,dear allergy hate away love victim
relief,send message greg time answer ok love o amp goog luck erie
sadness,runny nose breathe terrible feeling
fun,day birthday want old
neutral,work allll weeekend
worry,iphone today want morning virginia beach think
worry,e arts stephani horse fall wet ground land head
sadness,oh go to break w up guy
worry,think s go not time scan photo shop stuff work
neutral,sorry like girl way
happiness,awee
sadness,sooooooooo funny computer computer render draw come revit autocad bad
hate,fucking clean kitchen asshole come home amp go mess mom
worry,tired lot look forward tabletop gaming tomorrow break constant programming
happiness,currently play list
love,beautiful day ocracoke hope thunderstorm stay away afternoon look good
sadness,peep come today weekend hang w not time workin
worry,follow friday burden want add forget people
hate,john make wear mask glove work cause sick say want catch swine flu
love,lmao boss ross come love man truth
surprise,wire mag need seriously chill renew barely month ago send renewal letter year
worry,cruising eat bode future ga miss nyc gastronomical tour
love,go hairdresser today cutte hair love long hair dad say get haircut laaame
neutral,awayyyyy
neutral,wait listen wind blow tumbleweed old know say
hate,hut face hammer early accident obviously hurt
sadness,bored lonely work
sadness,stratus go bye bye today love car high school fb
worry,run worm skating poor wormie glad
anger,gas plus money desperation word day
neutral,get ear tube hour food
relief,finally eff internet effin need update wifi sg malls idk miss dada craigie
surprise,ah nick set vid private want mistake
happiness,cancel disney trip year thrilled
worry,sorry hear
relief,thank god elton allow new tw trailer work block youtube lj
worry,apology fix hurt feeling kev u time c
worry,sick go bed wake feel dead
sadness,la unified summer school drastically cut budget cut sad
worry,yo happen invite
sadness,oh wish lay sun garden lol
worry,want starbuck right need find tonight
sadness,ooc sorry miss
worry,hey maria sorry think accidentally disconnect thank try head site soon
love,wind want like love hot weather reap strawberry yday
enthusiasm,want warren die awesome character hate clare fucking die
neutral,not find go to sleepless night tonight
love,have tampa excited hunt far city
neutral,far
happiness,good hang ma dad look job
neutral,wanna roc imy buu
happiness,know join freekin club
sadness,sadly late traceycake get yummy tea w wee wknd
sadness,moment foward imma spend money wisely dress shoe shopping week pig fav rest
happiness,ohh fun night slime miss place
hate,hate seafood happen serve lobster chow hall noooowww get to headache ugh smh
worry,gosh anoher cloudy day wish away rain
neutral,vid mark private
worry,dangit cuz weather house painting go drag till week
sadness,reeeally wish n goin lately
sadness,hate seafood esp smell happen serve lobster chow hall noooowww get to headache ugh smh
anger,bad thing need stop think
neutral,deathmatch game plus good game lol
neutral,stress fro work have drink
neutral,not lay verse
worry,little felted thing look like incestuous product lovely
neutral,live version well
surprise,try sooooo hard work home today fail fault
neutral,condolence
worry,hope mean hour shift ya nasty poor guy way
neutral,yeah yesterday find house want sell bank eff car accident
surprise,yeah want probably winter able
worry,probably not command bet not understand pay fantasy football droid look
neutral,ouch apply ec summer graduation hug
love,yayy m go to today miss
neutral,page work
happiness,order cuuutest invitation new christening arrive sa sorry will not
sadness,know drizzle way work hope warm weekend
worry,tryin motivated downtown meet girl friend kinda not want cancel
happiness,wish
sadness,miss want come home seriously
worry,exam day prepared dead
worry,get hospital jimmys bad send good thought worried
worry,depend want poor
worry,u miss hope send big hug
sadness,ok home pizza tonight horror run anchovy
neutral,night nurse s
worry,lol dammit time
love,yeah friday work tomorrow oh go shopping afterwork
happiness,get to video public dear lol
hate,screw phone break not bother texte
worry,link not wor
relief,ooc okay maybe schedule work soon
worry,get to doctor morning feel sick right barely talk yell house lol
worry,kickboxing class today pretty bummed go work hard
hate,want shoot viva hate second time get new camera chance pitch black
sadness,feel
worry,giii help wana find gorgeous dress prom long mid length short uk help
anger,break twitterparty m home soon
worry,ugh miss potus guy block house block job
worry,get firefox work bookmark
happiness,wear exactly clothe wear canada beanie touque ahh bring memory miss snow
worry,go to miss cry right
love,fourteen hour later have bad allergy flare life shoot engagement session field night
happiness,san diego right pretty cold m wait suck surf love
surprise,get bbq get sunburn leg sore
worry,wah go to miss bowie people esp alyanna bondoc cesar dunno survive sosa
happiness,funny msg fb time actual link today receive message
worry,say video private will let watch
worry,power cut s go
fun,wait dare job probably go wait tomorrow
neutral,sudden wave melancholy take miss shine emblem
worry,legless stillborn spaniel idea sad later strawberry dead puppy
worry,house bust house smell like bowling alley maaad gross house need new roof basement
neutral,hey guy plan cal headlining show time blink tour not irvine
sadness,beneath get cancel bummer guess will not til cornerstone goign
worry,jay sad night night watch watch conan pm
sadness,boy doc persistent cough good t
neutral,awake want work
relief,use internet explorer firefox issue normal tweeting
worry,lunch hungry
sadness,evening pick dinner ta lum tum tum som avenue decide club tonite
neutral,revise exam
neutral,thank
worry,need free fieldnote travel north street philly buy
enthusiasm,try find tonight
worry,need share h w love rock gear
worry,awful online portuguese test
neutral,fool twitterland retweet sadsville
fun,jealous right new england weather
relief,fight migraine medication work
love,man french open week opportunity catch single match
sadness,yeah suck work nano music sad
worry,wtf come race ughh road race sunday
sadness,car offically go good bye turquoise topaz miss greatly
worry,
love,wish see nephew graduate kindergarten
sadness,way home dood not think crappy vodafone gprs handle
worry,bad luck
hate,f work want somebody come
neutral,love fly live chat like sick
happiness,bwaha far away look fluffy jared hair shinnny
neutral,meditate plan weekend gotta work saturday
happiness,hahaha ok hire mom paiseh haha shall washing
hate,like heat global warming eventually destroy earth sun inevitably eat planet grim
sadness,sadly rodeo dear suspect learn lesson
sadness,bushidokan class get cancel sign karate someplace
relief,note self omelet well butter olive oil like cooking spit napkin
worry,yes meet jon yr interesting agile session yr schedule
sadness,wat gooood miss you
worry,come money
neutral,alarm watch pill display function alzheimer patient w b key hear alarm amp ask noise
worry,not feel good sick stomach
anger,point gear question post not rest dreadweave set
neutral,mom call hospice great gpa matter time god know
sadness,day not slow
worry,redskin release jon jansen guy ton sweat bruise team miss
worry,talk bout general want play
worry,education forward repeat past sigh
worry,get arizona yesterday move furniture stuff arizona house ship redwood city sad
sadness,head starbuck go to bus paradise starbuck miss minute
neutral,ha omg amy bb loaner laptop today month
sadness,good day
enthusiasm,que sumiu forever msn
neutral,way wildomar tow lexus
relief,lil sad look like nomore brooklyn wtf
worry,picture print brown splotch get tank clean prob
worry,feel extra nauseous sudden like stomach ready resume peristalsis event night prior
worry,sure wish cat stop hide
relief,oh friend know amp retract statement thennnnnnnn
sadness,yeah call ask
neutral,chad will tomorrow
neutral,maybe will get
relief,chipotle line door want
worry,work till daily bank free ribfest pass
anger,dvd rent yesterday crack figure minute movie
worry,oh accord laineygossip taylena bc fame gosh poor heartbreak row
sadness,
sadness,hi ho work
sadness,listen album youtube awesome buy
sadness,poor poor mouth
worry,say online online bloody win lol
happiness,weird maybe update send phone haha
sadness,go work suck miss happy hour sonic
neutral,want buy amber benson death daughter today
worry,believe get rescue group go get
worry,snap break
neutral,call not answer
neutral,pinch nerve
worry,worried sam want know okay
worry,gratz tix sux u poor tho try pj harvey tix debate s
boredom,totally want white chocolate macadamia cookie mrs field mall soooo far away bleh think
sadness,try pretty hard engage follow lack interesting shit end unfollowed
sadness,able create itune acct long redeem kris allen album note say get cancel
neutral,sorry get u sick
worry,chris come exactly hour mope leave end fall asleep
worry,yeah think touch mike germ sore throat dammit know go
hate,busy busy bee wish laundry bad
sadness,mad forget deadline mile award trip south america
sadness,wat stressful week jus hope fall place
worry,awww give sad face feel
worry,wonder clumsy lately
worry,miss site
neutral,terri
love,ha finally find know happy summer kaylee bad not kick anymore
worry,wish famous like d people m follow
neutral,awww thatss sad x
fun,daft go recieve million friend invite xbox shall
neutral,wait pick train station bro gym believe bump night
worry,oh shit happy late birthday txt send
worry,lover bus late mean will hour later plan
neutral,eww r u atm
sadness,mean portfolio sad luck apply place far
sadness,piece photo quilt boeing employee hang huntington beach sadly people quilt pic lay
worry,york v lanc telly go yorkshire
sadness,hah wait till turn
worry,piss annoying date stamp picture wish remember turn
neutral,damn people contain gluten not cannibal
worry,think open macmaze source time work anymore
worry,doh town result mail
worry,ruin lunch eat half bag cheddar popcorn feel sick
hate,hate midget smfh dream fightin ln boston market turbull keep head bunt
neutral,united kingdom
worry,wish pitchfork shutup primavera make miss spain
worry,office hour try computer feel well
neutral,want pho
worry,work sick ok mall
hate,ey boy video youtube say vid private want besos grande guapo
worry,think con law fight headache amp pay bill
sadness,say goodbye year awesome help fit team verita
worry,yeah sad
neutral,rainy day home love writte music dream dat give long time ago
relief,today aba emotional tear asd autism day hard hard intervene poor baby
neutral,noo start season wednesday m y
sadness,miss coffee
neutral,actually maybe sell sat lunch
neutral,makin tea stressin
happiness,great vip act enjoy see noooo
fun,jus get run sunset blvd cuzin try kill leg movin sittin
worry,go doctor
sadness,hey go viewable uk time break heart play haha
sadness,forget nash disappointing sun fan
surprise,ugh day uttered word week miss yr old birthday amp ical
worry,truck bite dust know mustang game tomorrow
sadness,feel type way cause m talkin
worry,burn tan ouch
worry,need job
neutral,great weekend ahead catlaugh comedy festival kilkenny weather fantastic unfortunately israel sunday
worry,m night dinner lack care
happiness,sound soooo good right mmmm malasada leave today
neutral,wish know hook friend tell get crappy seat chi
surprise,yea get good
sadness,think go to try vegetarian soda majorly cutback beer carb yummyyy
happiness,goodbye sex city let hurry mi cuz paper work summer bk
worry,trouser damp
surprise,cop tell tori dad find remain
happiness,washer se chingo ha ha bust grandma lucia waaaaay early lol
neutral,reply people seriously refresh twitter sorry thank
neutral,bird poo update manage clean slight stainage remain tip
neutral,wish go internet week
fun,say mention bear fun bear like peanut butter
happiness,sound delicious lay patio tom san pool enjoy burger
sadness,yeah huntsville quit job job
sadness,
neutral,lately wake sun face today
worry,hang right bored hahaha work today different hour money lol whatev
surprise,find schoolmate die heart attack morning barely miss u bally
sadness,turn thing feel forgiving remould cut form
sadness,wish nowww grrrrrrr
sadness,hi guy da usael notmuch sad
love,haha p cute come visit god damn lake geneva far civilizati
worry,try figure use twitter old
worry,week dlc fail wait maiden week
sadness,end like poor bus driver kinda weird wish today
sadness,jealous want free hamburger
neutral,far away
surprise,m melt m house shade fair
surprise,okay key good game
worry,ok interested special popcorn stale waste go find homeless person
boredom,hour minute dreadful wait
neutral,yes
sadness,dude
surprise,wake early dang man know go sleep
sadness,need follower
sadness,grr fatboy slim edc lineup
neutral,tweet like day go
sadness,house ine share
sadness,yeah agree good aww leeaave
sadness,esther want deal
relief,watch trailer new sam raimi movie drag hell look interesting humor
worry,siiiiiickkk dun feel good
neutral,lunch boringgg drive school today ugh hope well mr dodd
anger,annoying want sat concert know pay
worry,jet blue okay guess cancel flight lot backup plane class
love,field day lot great action fotos eat lunch need showr tidy hse ready stamp club btw mexican skin get tan
hate,ugh fricken internet like work want college connection
sadness,checkout line kate amp jon splash weekly sad
sadness,funny
worry,eesh sorry hear go travel michigan fun
neutral,odd want weekend
sadness,need motivation life oh love nice
worry,meet good friend thing morning gym omg shocked hope well soon
worry,harrump gag beer want play
neutral,dozen thank remind quilt lol
neutral,get dana watch roseanne start ready work
worry,soooo sunburnt mum early wait fall asleep trampoline hour sun u
surprise,watch hollyoak omg
worry,get ready work think catch cold yay get to pull hour shift holla ya tomorrow peace
worry,man yes brooklyn go hard longstory short comfy windy
worry,ugh bad
sadness,bye bye south beach u let
hate,be woth anythin right wrong
worry,vancouver get tough slum landlord ew back sewage
sadness,r squeeze bacon look like poop
happiness,post guitar hero ass kicking
worry,becoz leg sprain nta ble proper wrkout worried shud dis hapen wen satrte dieting
worry,
sadness,fab go
neutral,get look job weekend
worry,hi everybody sorry long listening iwa busy
happiness,happen week ago serial card fraudster loose
sadness,eekkk work
neutral,phone break amp m lazy verizon store new oh guess phone awhile aha
surprise,start long message get long write
worry,sit valley hummer boo boo
sadness,want hang play fiddle faddle workload
worry,think wrong stuff breathe feel like sore throat
sadness,gosh miss singer theater miss learn music act exercise n especially miss onstage
neutral,get to phone leg promise update year bad dumb blackberry
worry,oh no tv break red standby light check plug fuse inside
neutral,
sadness,feel move recently near hour away
love,omg sorry hear need talk shoulder lean
surprise,send letter email client remind
fun,poope pennsylvania rest stop hate public toilet
love,miss have lay pool day summer well spend day class
love,oh god yeah forget
neutral,haha wish fill break cavitie need fix
sadness,go to suck sober tonight
neutral,maybe care
neutral,go jordan amp jeff wed weekend atl
sadness,yeah go to long
hate,sad making buy guitar hero metallica hard work soldier read disc
sadness,hr say take tax check
neutral,headache go away
surprise,spend hour morning go yearbook senior start harleton speech boring
hate,actually sweden ikea room stay night stay street
worry,get foxy new brew buddy kitchen go to smell
neutral,choose wrong career
relief,official finally get grey hair fb
worry,sorry have good day work tonight
neutral,go
neutral,yup dianne claudia dianne new tweetville claudia active
sadness,feel bad profile pic
neutral,idea
neutral,doctor appt
worry,half awake comm theory section wahhhh want bed
sadness,actually web work fine tweetdeck culprit sadness diff location
happiness,enjoy nice weather stick indoor write essay
relief,day bedford county history gossip twitter away usual
happiness,congratulation wish happen
sadness,hate work sunny boohoo
worry,dilate pupil suck computer screen hurt eye will comp
hate,tomorrow start km mud
neutral,say video private
worry,haha great sleep horribly night
relief,video private
neutral,swine flu outbreak cayuga county case
fun,laugh today hopeful thing
worry,see squirrel hit car walk bart morning wonder
worry,shoppin day get headache get boyfriend style shirt not find new bracelet wear
worry,available area
worry,dad ask year old son drink
neutral,pack geography test correct weekend
relief,great write player will start
worry,sharing ff twitter fam will long get real busy day twitter phone
sadness,sadly robot song library
neutral,ok ok house need clean clothe need washing time twitter away awhile wahhhh
neutral,mileey voe mv movie award
worry,tough suck live mile away family crave korean homemade meal
surprise,want outside play sunshine sit computer day lunch patio
enthusiasm,evenin tweetie phew hot complain walk mile town today feel hot n sweaty nice tho
worry,get bust owner company play squishy ball desk ask need work busy
neutral,like change feel like google send email tell thing gunna phone
neutral,history
sadness,running past couple day bad knee guitar hero metallica arrive keep amuse time rock
sadness,actually well fluffballthegodzilla youtube username ve beat
surprise,hi pretty man not upload pic reason write wish find woman
sadness,want bad mcfly concert
worry,clean find stuff sell poor
surprise,sleep interupte jack hammer damn universe say intil thougth sleep
fun,tonight party girl minus vita
worry,heart beat irregularly night want explode implode
worry,hit word mark geography note gcse mean page history
sadness,write
sadness,hollyoak curse justin strike date burton end screw poor sod
hate,hate go miss tweet weekend
worry,family home not like miss tbh
sadness,mii shit list permanent mii dude
worry,forgot charge cell night dead
worry,dislocate knee bad painful time gas air morphine fun
worry,wait find caca stand hope think follow caca
worry,wanna longboard rain ughhhhhh
love,shopping migawd want surf net anymore
love,yep m jelous d love miley position haha x
worry,ohhh wowwww good
neutral,
sadness,oh internal sig external e mail damn fb
worry,think block hear tweet
sadness,day job today will not say anymore
neutral,will
neutral,family go beach pool friend stick house till
neutral,actually need clean house
neutral,tis sad people leave
sadness,need stop sick
hate,ready kill hate history
hate,yesss flash shitty tonight take time open webpage
surprise,aawh s bad
worry,feel good today
neutral,work till
neutral,vu change gq outfit
worry,translate topic tutorial elementary number theory tutorial omg
worry,need talk vent let know
surprise,video private
sadness,miss puppy
love,dunno go to love skinny jean
love,wanna wanna
worry,yes go sophmore college geez not job cause think m
hate,terrible cartoon suppose mexican
worry,hey hey get custom design kind superfresh t somebody collect dust
neutral,want bad mcfly concert anybody
surprise,get catch rain outside m cold bbbbrrrrrrrrr
worry,rofl problem hand
sadness,look well short hair
boredom,wake feel damn lazy time work damnit
surprise,wow leonardo dicaprio jennifer davisson killoran producer movie orphan direct contact info
sadness,ah remember day sleep noon guess today god feel like loser
worry,sore throat headache start friday good sign
worry,summer make feel ugly pretty people showin good gene damn hell
worry,feel need advil
sadness,lol stay craig get footy molly miss good weather buggy
neutral,exactly week leave sigma
worry,watchin hollyoak poor justin
hate,funny profile ass like wtf kinda heated ugh
neutral,
neutral,wait separate way
worry,ohhhh ouch dude get drunk night context sorry dude
sadness,get catch rain outside m cold bbbrrr
love,lluuvv u ahhh m go to miss u evenn moreee lol
sadness,goodbye picnic classmate today weather fuck beautifuul
relief,proof heat good day wish spend bed
sadness,school go to miss bunch people
worry,dana find lunch hour hello delivery
love,wait watch tonight evening jay
worry,sure tweet business simple thing difficult
happiness,car home yay boo pay mom installment give today need win lottery
happiness,forget answer kindle question yesterday honestly paperback book want read
hate,electronic key stop work keyhole not car technology
worry,nataliaflewell hey bored pain god love life screwd
worry,day work today bit tiring ok lol college work
worry,oh hurt
surprise,you know kid drown try swim ocean order find sponge bob pineapple house rofl sowy
sadness,get sunburn arm well news new guitar hero metallica game come happy
anger,hella want sausage mcmuffin gt breakfast
neutral,find know twitter
worry,go husband go leave box office random
sadness,miss work want pix
neutral,lol know feel kid current work load maxe time grow thing
relief,waste time til cab get spamspamspam keith motorbike nick shit
hate,hate crowd
sadness,omg realise listen penny like dr horrible damn captain hammer omg m sad
hate,weekend sunny get puncture
neutral,aw
hate,u feel urself u not hi likey u
worry,ouch sorry
worry,horrible not ask u u laugh hurt little inside pint heart
worry,road hour ahead beautiful girl
neutral,sleep entire flight wake fact girl watch chitty chitty bang bang
sadness,school work
worry,think like degree
worry,sad neighbor cut tree house look pretty healthy tragic
worry,think friend like anymore zenjar
neutral,twitter tavern bore
surprise,ohnoe icky
worry,throat hurt
love,know m excited not earlierrr afternoon love tooz
sadness,business day month wrong time new tag people
worry,class almostt
worry,wish technology complicated
surprise,run errand day charlotte shop
worry,have problem send image twitterberry want work xxx
neutral,request bbm amp send ur contact info sync old phn ur tmail info haha date
relief,get new phone program old memory card like
surprise,warren hannah dead oh godd seriousslyyy tragidy
love,super nintendo controller want sell break
worry,look new laptop battery expensive
neutral,sux think accountant mad monie middleschool cafeteria manager yr
neutral,old dead go
worry,guy dead load
hate,speech love one hospital stupid comm class
neutral,glue copi machine today
hate,know
neutral,shut know oll like zack
sadness,ticket picking lookin slim soo prob
sadness,head work friday
happiness,love zoo p not think sunday want
worry,come
sadness,couch hungover expect today
worry,sorrry ready leave
sadness,bad day gyah car baby client teethe miserable forget pack lunch new car
sadness,flash lose frisby roof sad day lol
surprise,think check home minute ago download update home square bother sony
hate,hate dentist
hate,haha suck actually bad mine ft math eww
worry,aim work network problem
sadness,office sun shine
worry,tall up down leg pain
worry,geez sorry hear steph hope thing improve soon know be sorry
